venue,cc4,amount,clock,day
Brew've Been Served,4795,11.34,07:28:00,2014-01-06
Hallowed Grounds,7108,52.22,07:34:00,2014-01-06
Brew've Been Served,6816,8.33,07:35:00,2014-01-06
Hallowed Grounds,9617,16.72,07:36:00,2014-01-06
Brew've Been Served,7384,4.24,07:37:00,2014-01-06
Brew've Been Served,5368,4.17,07:38:00,2014-01-06
Coffee Cameleon,7253,28.73,07:42:00,2014-01-06
Brew've Been Served,4948,9.6,07:43:00,2014-01-06
Brew've Been Served,9683,16.9,07:43:00,2014-01-06
Hallowed Grounds,8129,16.53,07:47:00,2014-01-06
Hallowed Grounds,3492,10.66,07:48:00,2014-01-06
Coffee Cameleon,5921,8.39,07:49:00,2014-01-06
Brew've Been Served,9405,32.83,07:52:00,2014-01-06
Hallowed Grounds,7889,16.88,07:54:00,2014-01-06
Coffee Cameleon,2142,11.86,07:54:00,2014-01-06
Hallowed Grounds,2681,32.93,07:54:00,2014-01-06
Hallowed Grounds,9551,8.05,07:55:00,2014-01-06
Brew've Been Served,3484,3.67,07:55:00,2014-01-06
Brew've Been Served,7819,8.88,07:59:00,2014-01-06
Brew've Been Served,5407,4.27,08:00:00,2014-01-06
Hallowed Grounds,6691,9.69,08:00:00,2014-01-06
Hallowed Grounds,1874,10.07,08:01:00,2014-01-06
Brew've Been Served,3853,18.24,08:06:00,2014-01-06
Brew've Been Served,4434,15.58,08:06:00,2014-01-06
Brew've Been Served,6901,5.66,08:07:00,2014-01-06
Coffee Cameleon,2418,3.2,08:14:00,2014-01-06
Brew've Been Served,1286,14.97,08:16:00,2014-01-06
Brew've Been Served,8411,11.2,08:16:00,2014-01-06
Brew've Been Served,8202,15.39,08:17:00,2014-01-06
Abila Airport,9220,4540.08,08:23:00,2014-01-06
Kronos Pipe and Irrigation,9220,242.21,09:06:00,2014-01-06
Nationwide Refinery,9735,761.64,10:02:00,2014-01-06
Maximum Iron and Steel,9220,2859.51,10:18:00,2014-01-06
Stewart and Sons Fabrication,9735,2144.62,11:33:00,2014-01-06
Carlyle Chemical Inc.,9220,3959.66,11:57:00,2014-01-06
Coffee Shack,7117,51.51,12:00:00,2014-01-06
Bean There Done That,1415,10.28,12:00:00,2014-01-06
Bean There Done That,9635,16.09,12:00:00,2014-01-06
Brewed Awakenings,7688,5.72,12:00:00,2014-01-06
Jack's Magical Beans,6899,11.03,12:00:00,2014-01-06
Brewed Awakenings,2540,16.89,12:00:00,2014-01-06
Bean There Done That,1877,8.54,12:00:00,2014-01-06
Brewed Awakenings,8332,4.35,12:00:00,2014-01-06
Bean There Done That,1321,5.24,12:00:00,2014-01-06
Bean There Done That,6895,4.27,12:00:00,2014-01-06
Jack's Magical Beans,9241,18.59,12:00:00,2014-01-06
Jack's Magical Beans,8156,27.84,12:00:00,2014-01-06
Jack's Magical Beans,2463,18.1,12:00:00,2014-01-06
Abila Airport,8642,1873.79,12:16:00,2014-01-06
Katerina's Cafe,8332,13.68,12:56:00,2014-01-06
Hippokampos,8156,9.16,12:57:00,2014-01-06
Abila Zacharo,2418,106.93,13:18:00,2014-01-06
Gelatogalore,7253,12.74,13:19:00,2014-01-06
Kalami Kafenion,3484,70.1,13:19:00,2014-01-06
Hippokampos,6691,34.03,13:20:00,2014-01-06
Hippokampos,9551,28.23,13:21:00,2014-01-06
Ouzeri Elian,2540,38.9,13:22:00,2014-01-06
Hippokampos,4795,13.26,13:23:00,2014-01-06
Guy's Gyros,1415,15.44,13:24:00,2014-01-06
Abila Zacharo,7688,30.08,13:27:00,2014-01-06
Abila Zacharo,1286,50.14,13:27:00,2014-01-06
Katerina's Cafe,8411,33.54,13:28:00,2014-01-06
Kalami Kafenion,5407,8.64,13:28:00,2014-01-06
Guy's Gyros,7384,16.92,13:30:00,2014-01-06
Hippokampos,2681,36.54,13:35:00,2014-01-06
Abila Zacharo,7354,92.05,13:35:00,2014-01-06
Ouzeri Elian,6816,20.56,13:37:00,2014-01-06
Guy's Gyros,1310,11.22,13:39:00,2014-01-06
Gelatogalore,7889,22.64,13:41:00,2014-01-06
Ouzeri Elian,6895,20.4,13:42:00,2014-01-06
Guy's Gyros,9635,30.82,13:46:00,2014-01-06
Katerina's Cafe,6899,18.56,13:46:00,2014-01-06
Guy's Gyros,2463,99.67,13:46:00,2014-01-06
Kalami Kafenion,1321,22.13,13:47:00,2014-01-06
Ouzeri Elian,5368,20.74,13:48:00,2014-01-06
Ouzeri Elian,5921,30.87,13:48:00,2014-01-06
Katerina's Cafe,1874,13.59,13:50:00,2014-01-06
Katerina's Cafe,9617,32.64,13:50:00,2014-01-06
Kalami Kafenion,4434,22.31,13:52:00,2014-01-06
Gelatogalore,3492,36.33,13:52:00,2014-01-06
Katerina's Cafe,2142,36.95,13:53:00,2014-01-06
Abila Zacharo,9405,23.15,13:54:00,2014-01-06
Hippokampos,1877,8.64,13:57:00,2014-01-06
Hippokampos,8202,38.25,13:58:00,2014-01-06
Katerina's Cafe,3853,39.41,13:59:00,2014-01-06
Kalami Kafenion,7117,13.08,14:00:00,2014-01-06
Gelatogalore,7819,23.41,14:00:00,2014-01-06
Hippokampos,4948,30.88,14:04:00,2014-01-06
Abila Zacharo,7108,78.11,14:05:00,2014-01-06
Kalami Kafenion,8129,27.4,14:15:00,2014-01-06
Katerina's Cafe,6901,19.65,14:17:00,2014-01-06
Abila Airport,9220,777.06,15:14:00,2014-01-06
Abila Airport,8642,612.47,15:39:00,2014-01-06
U-Pump,3484,59.51,17:28:00,2014-01-06
Katerina's Cafe,8411,78.65,18:56:00,2014-01-06
Katerina's Cafe,8129,26.46,19:08:00,2014-01-06
Guy's Gyros,7384,39.29,19:18:00,2014-01-06
Frydos Autosupply n' More,9241,273.87,19:50:00,2014-01-06
Katerina's Cafe,7253,23.63,20:07:00,2014-01-06
Katerina's Cafe,1874,12.32,20:08:00,2014-01-06
Guy's Gyros,6901,11.94,20:09:00,2014-01-06
Frydos Autosupply n' More,8202,80.85,20:12:00,2014-01-06
Guy's Gyros,3484,22.57,20:13:00,2014-01-06
Guy's Gyros,6816,117.82,20:15:00,2014-01-06
Frydos Autosupply n' More,5368,175.87,20:15:00,2014-01-06
Katerina's Cafe,2418,21.66,20:19:00,2014-01-06
Hippokampos,1321,35.34,20:20:00,2014-01-06
Guy's Gyros,7819,28.94,20:24:00,2014-01-06
Albert's Fine Clothing,9551,276.9,20:26:00,2014-01-06
Guy's Gyros,7108,95.29,20:28:00,2014-01-06
Hippokampos,6895,85.5,20:29:00,2014-01-06
Katerina's Cafe,9405,17.92,20:29:00,2014-01-06
Katerina's Cafe,6691,28.0,20:30:00,2014-01-06
Katerina's Cafe,5921,15.52,20:33:00,2014-01-06
Hippokampos,1877,26.8,20:36:00,2014-01-06
Hippokampos,7117,24.41,20:46:00,2014-01-06
Hippokampos,1415,21.33,20:46:00,2014-01-06
Frydos Autosupply n' More,5407,149.3,20:47:00,2014-01-06
Shoppers' Delight,7354,293.67,20:49:00,2014-01-06
Hippokampos,7688,17.27,20:52:00,2014-01-06
Katerina's Cafe,3492,26.1,20:59:00,2014-01-06
Katerina's Cafe,9617,10.72,21:03:00,2014-01-06
Albert's Fine Clothing,4434,121.76,21:03:00,2014-01-06
Hippokampos,8156,28.14,21:11:00,2014-01-06
Katerina's Cafe,4948,26.51,21:12:00,2014-01-06
Frydos Autosupply n' More,2142,197.32,21:23:00,2014-01-06
Frydos Autosupply n' More,1310,314.98,21:32:00,2014-01-06
Hippokampos,8332,20.61,21:52:00,2014-01-06
Brew've Been Served,7384,5.08,07:27:00,2014-01-07
Brew've Been Served,5368,12.74,07:31:00,2014-01-07
Brew've Been Served,4795,7.09,07:33:00,2014-01-07
Hallowed Grounds,7889,14.05,07:35:00,2014-01-07
Hallowed Grounds,8129,8.91,07:37:00,2014-01-07
Hallowed Grounds,1874,19.59,07:41:00,2014-01-07
Brew've Been Served,6816,19.6,07:45:00,2014-01-07
Hallowed Grounds,9551,84.44,07:46:00,2014-01-07
Coffee Cameleon,5921,9.1,07:46:00,2014-01-07
Hallowed Grounds,1310,7.88,07:47:00,2014-01-07
Hallowed Grounds,7108,18.97,07:48:00,2014-01-07
Coffee Cameleon,7253,27.66,07:49:00,2014-01-07
Brew've Been Served,5407,4.39,07:50:00,2014-01-07
Hallowed Grounds,3492,9.61,07:50:00,2014-01-07
Brew've Been Served,4434,3.0,07:52:00,2014-01-07
Brew've Been Served,1286,11.92,07:54:00,2014-01-07
Brew've Been Served,3484,69.06,07:55:00,2014-01-07
Brew've Been Served,9683,98.53,07:56:00,2014-01-07
Hallowed Grounds,6691,10.33,07:57:00,2014-01-07
Brew've Been Served,8202,17.4,07:58:00,2014-01-07
Brew've Been Served,4948,11.91,08:00:00,2014-01-07
Coffee Cameleon,2142,11.55,08:00:00,2014-01-07
Coffee Cameleon,2418,52.44,08:01:00,2014-01-07
Hallowed Grounds,9617,9.92,08:01:00,2014-01-07
Hallowed Grounds,2681,68.42,08:01:00,2014-01-07
Brew've Been Served,9405,14.49,08:02:00,2014-01-07
Brew've Been Served,7819,3.03,08:06:00,2014-01-07
Brew've Been Served,8411,15.66,08:09:00,2014-01-07
