CarID,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
1,Nils,Calixto,Information Technology,IT Helpdesk
2,Lars,Azada,Engineering,Engineer
3,Felix,Balas,Engineering,Engineer
4,Ingrid,Barranco,Executive,SVP/CFO
5,Isak,Baza,Information Technology,IT Technician
6,Linnea,Bergen,Information Technology,IT Group Manager
7,Elsa,Orilla,Engineering,Drill Technician
8,Lucas,Alcazar,Information Technology,IT Technician
9,Gustav,Cazar,Engineering,Drill Technician
10,Ada,Campo-Corrente,Executive,SVP/CIO
11,Axel,Calzas,Engineering,Hydraulic Technician
12,Hideki,Cocinaro,Security,Site Control
13,Inga,Ferro,Security,Site Control
14,Lidelse,Dedos,Engineering,Engineering Group Manager
15,Loreto,Bodrogi,Security,Site Control
16,Isia,Vann,Security,Perimeter Control
17,Sven,Flecha,Information Technology,IT Technician
18,Birgitta,Frente,Engineering,Geologist
19,Vira,Frente,Engineering,Hydraulic Technician
20,Stenig,Fusil,Security,Building Control
21,Hennie,Osvaldo,Security,Perimeter Control
22,Adra,Nubarron,Security,Badging Office
23,Varja,Lagos,Security,Badging Office
24,Minke,Mies,Security,Perimeter Control
25,Kanon,Herrero,Engineering,Geologist
26,Marin,Onda,Engineering,Drill Site Manager
27,Kare,Orilla,Engineering,Drill Technician
28,Isande,Borrasca,Engineering,Drill Technician
29,Bertrand,Ovan,Facilities,Facilities Group Manager
30,Felix,Resumir,Security,Security Group Manager
31,Sten,Sanjorge Jr.,Executive,President/CEO
32,Orhan,Strum,Executive,SVP/COO
33,Brand,Tempestad,Engineering,Drill Technician
34,Edvard,Vann,Security,Perimeter Control
35,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
,Albina,Hafon,Facilities,Truck Driver
,Benito,Hawelon,Facilities,Truck Driver
,Claudio,Hawelon,Facilities,Truck Driver
,Henk,Mies,Facilities,Truck Driver
,Valeria,Morlun,Facilities,Truck Driver
,Adan,Morlun,Facilities,Truck Driver
,Cecilia,Morluniau,Facilities,Truck Driver
,Irene,Nant,Facilities,Truck Driver
,Dylan,Scozzese,Facilities,Truck Driver
