loyalty_num,cc_num,frequency
L8566,4795,25
L2070,4795,1
L8148,6816,20
L5553,9617,26
L3800,7384,26
L2247,5368,24
L6119,5368,1
L9406,4948,22
L3295,4948,1
L7291,9683,18
L8328,8129,21
L7814,3492,22
L3295,5921,12
L9406,5921,1
L9637,2142,25
L5777,9551,12
L2490,3484,24
L5259,7819,27
L4034,5407,20
L4424,1874,25
L1485,3853,22
L2169,4434,26
L9363,6901,28
L3572,1286,13
L3288,1286,15
L6110,8411,27
L2343,8202,25
L4063,9220,9
L9633,9735,16
L7783,1415,24
L3191,9635,24
L4164,7688,22
L6267,6899,23
L5947,2540,20
L3014,1877,18
L2070,8332,27
L8566,8332,1
L4149,1321,22
L3366,6895,21
L3288,9241,13
L6886,2463,23
L1682,7253,24
L6267,6691,20
L1107,2681,20
L8012,1310,21
L6119,7889,20
L2247,7889,1
L3259,9405,21
L6417,7117,28
L2769,8642,12
L9254,7354,21
L6544,7108,16
L7761,3506,6
L5756,7792,20
L5224,8156,22
L9018,2418,20
L3317,2276,10
L8477,4530,10
L5485,9152,2
L5924,9614,2
L9362,3547,14
L2459,5010,5
