loyalty_num,cc_num,frequency
7108,18,7
3492,18,7
3492,14,8
6901,34,8
7253,29,6
2418,29,6
9683,20,6
7819,20,6
2681,26,8
6691,12,8
2418,25,7
6901,24,6
7819,33,10
3853,33,10
3484,17,10
6691,27,8
2142,6,9
7819,21,7
8411,21,7
7819,23,10
3853,23,10
1286,23,10
8202,23,10
2681,1,10
1874,8,8
3853,16,6
1286,16,6
8411,16,6
8202,16,6
7819,16,6
8411,13,5
8202,22,9
1286,30,6
8202,30,6
6901,15,8
9220,101,2
8642,104,2
7819,4,3
2681,5,4
4948,9,1
7108,9,1
8332,9,1
9635,9,1
1415,9,1
6895,11,4
8332,19,3
7688,2,4
6895,105,2
7792,105,2
9735,106,3
2540,32,2
9635,32,2
6895,32,2
7354,32,2
7253,32,2
7253,7,3
9735,107,1
4530,107,1
9614,107,1
1415,35,3
1874,35,3
1321,3,3
9635,10,2
5407,10,2
1415,10,2
7688,10,2
7354,31,2
L8566,4795,25
L2070,4795,1
L2247,5368,24
L6119,5368,1
L9406,4948,22
L3295,4948,1
L7291,9683,18
L7814,3492,22
L3295,5921,12
L9406,5921,1
L9637,2142,25
L2490,3484,24
L5259,7819,27
L4034,5407,20
L4424,1874,25
L1485,3853,22
L9363,6901,28
L3572,1286,13
L3288,1286,15
L6110,8411,27
L2343,8202,25
L4063,9220,9
L9633,9735,16
L7783,1415,24
L3191,9635,24
L4164,7688,22
L5947,2540,20
L2070,8332,27
L8566,8332,1
L4149,1321,22
L3366,6895,21
L1682,7253,24
L6267,6691,20
L1107,2681,20
L6119,7889,20
L2247,7889,1
L2769,8642,12
L9254,7354,21
L6544,7108,16
L5756,7792,20
L9018,2418,20
L8477,4530,10
L5924,9614,2
